file_path,title,description,link,alt_text,section_id,note
images/pin620.png,"Grenada Carnival Costume | Stone Wall Portrait, Spicemas","Standing tall in this beaded Oro Luxury Carnival costume against a rustic stone wall in Grenada, complete with pink and turquoise jewels, matching arm chains, and purple platform boots. This Spicemas street style moment captures the raw energy of Grenada Carnival culture away from the beaten path. Save this for your #Grenada Spicemas board, #CarnivalCostume inspiration, or #OroLuxuryCarnival collection.",,"Woman in pink and turquoise beaded carnival costume with purple boots standing against stone wall in Grenada",,"Stone wall costume shoot, standing pose"
images/pin621.png,"Grenada Spicemas Glow | Carnival Costume Portrait","Eyes closed and soaking in the sun in this stunning beaded carnival costume, leaning against a stone wall in Grenada. The pink and gold jeweled bodysuit with matching headpiece captures the joy of Grenada Carnival season perfectly. This kind of Spicemas glam is what makes Caribbean carnival culture so unforgettable. Save this for your #Grenada Carnival board, #Spicemas inspiration, or #CarnivalCostume content.",,"Woman smiling with eyes closed in beaded pink carnival costume against stone wall in Grenada",,"Stone wall costume shoot, eyes closed smiling"
images/pin622.png,"Carnival Costume Side Profile | Grenada Stone Wall Shoot","Looking up and soaking in the moment in this Oro Luxury Carnival costume, photographed against a textured stone wall in Grenada. Pink and turquoise beadwork catches the island light beautifully in this Spicemas street portrait. Grenada Carnival mas costumes bring so much color and craftsmanship to the island every year. Save this for your #Grenada Spicemas board or #CarnivalCostume inspiration.",,"Side profile of woman in beaded pink carnival costume looking up against stone wall in Grenada",,"Stone wall costume shoot, side profile looking up"
images/pin623.png,"Playful Carnival Moment | Grenada Spicemas Costume","A playful, carefree moment in this beaded Grenada Carnival costume, hands up and full of Spicemas energy against a rustic stone wall backdrop. The pink and turquoise jeweled bodysuit with purple boots is total island carnival glam. This is what Caribbean carnival street style is all about. Save this for your #Grenada Carnival board, #Spicemas content, or #CarnivalCostume inspiration.",,"Woman with hands raised playfully in beaded pink carnival costume against stone wall in Grenada",,"Stone wall costume shoot, playful hands up pose"
images/pin624.png,"Carnival Headpiece Detail | Grenada Spicemas Feathers","A stunning close-up of this pink, gold, and neon yellow feather headpiece worn for Grenada Spicemas, showing off intricate gemstone and rhinestone detailing. This kind of carnival headpiece craftsmanship is a true highlight of Grenada Carnival mas band culture. Save this for your #Grenada Spicemas board, #CarnivalHeadpiece inspiration, or #CaribbeanCarnival content.",,"Close-up profile of pink and gold feathered carnival headpiece with jewels in Grenada",,"Headpiece detail, yellow wall, profile 1"
images/pin625.png,"Spicemas Feather Crown | Grenada Carnival Headpiece Close-Up","Another gorgeous angle of this pink and gold feathered Spicemas headpiece, worn during Grenada Carnival season. The layered gemstones and dangling crystal details make this crown a true carnival masterpiece. Grenada Carnival costume artistry shines through in every detail like this. Save this for your #Grenada Spicemas board or #CarnivalCostume detail inspiration.",,"Close-up of pink and gold feathered carnival headpiece with crystal details in Grenada",,"Headpiece detail, yellow wall, profile 2"
images/pin626.png,"Grenada Carnival Crown Detail | Pink Feather Headpiece","A final close-up look at this dazzling pink, gold, and neon feather headpiece worn for Grenada Spicemas Carnival, showing the full scope of its jeweled craftsmanship. This is the kind of carnival headwear that makes Grenada Carnival mas band season so visually stunning. Save this for your #Grenada Spicemas board, #CarnivalCostume inspiration, or #CaribbeanCarnival collection.",,"Close-up portrait of woman wearing pink and gold feathered carnival headpiece in Grenada",,"Headpiece detail, yellow wall, close portrait"
images/pin627.png,"Grenada Carnival Road March | Cold Towel Vendor Moment","A classic Grenada Carnival road march moment — cooling down with a Vanity lavender cold towel mid-jump-up on Grenada Spicemas parade day. Masqueraders in pink and green feathered headpieces fill the background near the waterfront, capturing authentic Caribbean carnival street culture. This is the real energy of Grenada Carnival Parade of the Bands. Save this for your #Grenada Spicemas board, #CarnivalRoadMarch inspiration, or #CaribbeanCarnival content.",,"Hand holding Vanity lavender cold towel on Grenada Carnival road march with masqueraders in background",,"Road march, cold towel vendor moment 1"
images/pin628.png,"Spicemas Parade Day | Grenada Carnival Cold Towel Break","Another candid shot from the Grenada Carnival road march, taking a cold towel break during Spicemas parade day near the waterfront. Masqueraders in feathered headpieces and beaded costumes fill the street behind, with palm trees and mountains framing this authentic Caribbean carnival scene. Grenada Carnival Parade of the Bands is an all-day celebration of music, costume, and community. Save this for your #Grenada Spicemas board or #CarnivalRoadMarch inspiration.",,"Hand holding Vanity lavender cold towel with Grenada Carnival masqueraders and mountains in background",,"Road march, cold towel vendor moment 2"
images/pin629.png,"Jump-Up Carnival Dancing | Grenada Spicemas Road March","Dancing in the road during Grenada Spicemas Carnival, surrounded by fellow masqueraders in bejeweled pink and turquoise costumes. This is the true spirit of Grenada Carnival Parade of the Bands — waving flags, jumping up, and celebrating island culture in the streets. Grenada Carnival road march energy is unmatched in the Caribbean. Save this for your #Grenada Spicemas board, #CarnivalRoadMarch inspiration, or #CaribbeanCarnival content.",,"Two masqueraders dancing in bejeweled carnival costumes during Grenada Spicemas road march",,"Road march, jump-up dancing scene"
