file_path,title,description,link,alt_text,section_id,note
images/pin590.png,"Sunny Ocean View Balcony | Mount Edgecombe Boutique Hotel Grenada","Sun sparkling on the Caribbean Sea from this balcony at Mount Edgecombe Boutique Hotel in Grenada — this is what island luxury looks like. The white balcony railings, umbrella, and endless ocean horizon make this boutique hotel a must for any Grenada vacation itinerary. If you're researching where to stay in Grenada or dreaming of a Spice Isle escape, this is the view that seals the deal. Save this for your #Grenada hotel board, #MountEdgecombe travel inspiration, or #CaribbeanVacation content.",,"Sunny balcony view of sparkling Caribbean Sea with umbrella at Mount Edgecombe Boutique Hotel Grenada",,"Mount Edgecombe sunny balcony ocean"
images/pin591.png,"Lush Tropical Garden Views | Mount Edgecombe Hotel Grenada Grounds","Towering palm trees and lush tropical foliage set against a clear blue sky — this is the garden view at Mount Edgecombe Boutique Hotel in Grenada. The hotel grounds are a total escape into Spice Isle nature, perfect for anyone planning a Caribbean island getaway surrounded by greenery. Save this for your #Grenada travel board, #TropicalGarden inspiration, or #IslandNature content when planning your next boutique hotel stay.",,"Tall tropical palm trees and lush garden foliage under blue sky at Mount Edgecombe Hotel Grenada",,"Mount Edgecombe garden palms"
images/pin592.png,"Local Grenada Touches | Boutique Hotel Table Details at Mount Edgecombe","Little island details make all the difference — this hand wash and packaged local treat sitting on a glass table at Mount Edgecombe Boutique Hotel capture the charm of a Grenada stay. These small hospitality touches are part of what makes a Spice Isle boutique hotel experience feel so authentic. Save this for your #Grenada hotel board or #BoutiqueHotel travel inspiration when researching island stays.",,"Hand wash bottle and packaged snack on glass table at Mount Edgecombe Boutique Hotel Grenada",,"Hotel table detail shot"
images/pin593.png,"Infinity Pool Ocean Views | Mount Edgecombe Boutique Hotel Grenada","This infinity pool at Mount Edgecombe Boutique Hotel in Grenada is the definition of Caribbean luxury. Striped lounge chairs, an umbrella, and uninterrupted ocean horizon views make this the perfect poolside escape on the Spice Isle. If you're planning a Grenada vacation and searching for the best boutique hotel with a view, this infinity pool checks every box. Save this for your #Grenada travel board, #InfinityPool inspiration, or #CaribbeanLuxury content.",,"Infinity pool with lounge chairs overlooking the Caribbean Sea at Mount Edgecombe Boutique Hotel Grenada",,"Mount Edgecombe infinity pool"
images/pin594.png,"Oro Luxury Carnival Costume | Aero Design by Shawn Dharanj, Grenada Spicemas","This stunning pink and black feathered Aero costume by Shawn Dharanj for Oro Luxury Carnival is Grenada Spicemas glam at its finest! Shot poolside at Mount Edgecombe Boutique Hotel overlooking the Caribbean Sea, this masquerader look features dramatic ostrich feather wings and a beaded headpiece straight from the Oro Luxury Carnival mas band collection. Grenada Carnival costumes don't get more show-stopping than this. Save this for your #Grenada Spicemas board, #CarnivalCostume inspiration, or #OroLuxuryCarnival content.",,"Woman wearing pink feathered Aero carnival costume by Shawn Dharanj for Oro Luxury Carnival poolside in Grenada",,"Carnival costume reveal, pool deck 1"
images/pin595.png,"Pink Feather Wings Carnival Look | Oro Luxury Mas Band, Grenada Spicemas","Another gorgeous angle of this Aero costume by Shawn Dharanj for Oro Luxury Carnival, photographed poolside at Mount Edgecombe Boutique Hotel in Grenada. The pink and black ostrich feather wings paired with the sparkling headpiece are true Spicemas showstoppers. Grenada Carnival season brings out the best in mas band costume design, and this Oro Luxury Carnival piece is a masterclass in tropical glam. Save this for your #Grenada Carnival board, #Spicemas inspiration, or #CarnivalCostume content.",,"Carnival masquerader in pink and black feathered wings costume by pool overlooking ocean in Grenada",,"Carnival costume reveal, pool deck 2"
images/pin596.png,"Grenada Carnival Costume Detail | Oro Luxury Aero Feather Wings","A closer look at the intricate details of this Aero costume by Shawn Dharanj, worn for Oro Luxury Carnival during Grenada Spicemas season. The layered pink ostrich feathers and sculptural black headpiece are total Caribbean carnival artistry, photographed poolside at Mount Edgecombe Boutique Hotel with ocean views in the background. If you love mas band costume design or Grenada Carnival culture, this close-up is a must-save. Perfect for your #Grenada Spicemas board or #OroLuxuryCarnival inspiration.",,"Close-up of pink ostrich feather carnival wings and headpiece from Oro Luxury Carnival Aero costume in Grenada",,"Carnival costume detail, pool deck 3"
images/pin597.png,"Spicemas Carnival Vibes | Oro Luxury Costume at Mount Edgecombe Hotel","Full carnival glam on display in this Aero costume by Shawn Dharanj for Oro Luxury Carnival, posed on the pool deck at Mount Edgecombe Boutique Hotel in Grenada. Pink feather wings and a dramatic beaded headpiece make this Spicemas look unforgettable against the Caribbean Sea backdrop. Grenada Carnival costumes bring so much color and energy to the Spice Isle every year. Save this for your #Grenada Carnival board, #Spicemas content, or #OroLuxuryCarnival inspiration.",,"Carnival costume with pink feather wings posed on pool deck at Mount Edgecombe Boutique Hotel Grenada",,"Carnival costume reveal, pool deck 4"
images/pin598.png,"Grenada Jungle & Hillside Views | Mount Edgecombe Poolside Escape","Lush green jungle hillsides roll on for miles beyond the pool at Mount Edgecombe Boutique Hotel in Grenada. This tropical mountain view captures the natural beauty of the Spice Isle, banana trees and dense rainforest framing the Caribbean landscape. If you're dreaming of a Grenada vacation surrounded by nature, this poolside view is pure inspiration. Save this for your #Grenada travel board, #IslandViews content, or #CaribbeanNature inspiration.",,"Lush green jungle hillside and mountains viewed from poolside at Mount Edgecombe Boutique Hotel Grenada",,"Grenada jungle hillside view"
images/pin599.png,"Full Costume Reveal | Oro Luxury Carnival Aero by Shawn Dharanj, Grenada","The full reveal of this breathtaking Aero costume by Shawn Dharanj for Oro Luxury Carnival, set against Grenada's lush tropical hillside and banana leaves. This Spicemas masquerader look features cascading pink ostrich feather wings, a beaded bodysuit, and a sculptural black headpiece — total Grenada Carnival showstopper energy. Oro Luxury Carnival costumes bring the Spice Isle's carnival culture to life every single year. Save this for your #Grenada Spicemas board, #CarnivalCostume inspiration, or #OroLuxuryCarnival collection.",,"Full body view of pink feathered carnival costume by Shawn Dharanj for Oro Luxury Carnival in tropical Grenada garden setting",,"Full costume reveal, garden backdrop"
