file_path,title,description,link,alt_text,section_id,note
images/pin580.png,"Miami Bayfront Look Before Grenada | Rainbow Bikini Top & Blue Maxi Skirt","Soaking up golden hour in downtown Miami before jetting off to the Caribbean! This rainbow striped bandeau top paired with a blue maxi skirt is the perfect Miami travel outfit for a city stroll before a Grenada vacation. Loving the skyline views in this Brickell-adjacent park, palm trees swaying in the breeze — total pre-island vacation mood. Perfect look for anyone planning a Miami to Grenada trip or curling up their Caribbean vacation packing list with resort wear inspo. Downtown Miami really shows out at sunset, and this spot is giving major #MiamiTravel and #DowntownMiami energy before the #CaribbeanVacation begins.",,"Woman in colorful striped bikini top and blue skirt smiling in downtown Miami park with skyline and palm trees at golden hour",,"Miami departure day, park photo"
images/pin581.png,"Golden Hour Miami Outfit Inspo | Travel Style Before Flying to Grenada","Another angle of this dreamy Miami sunset moment before island hopping to Grenada! This colorful rainbow bandeau and blue skirt combo is giving effortless Caribbean vacation style with a downtown Miami skyline backdrop. If you're building a Miami travel outfit or Caribbean island packing list, this look is bookmark-worthy. Sun flare, curly hair, and city high-rises in the background make this the ultimate pre-flight photo op. Save this for your next #MiamiTravel moment or #VacationOutfit board before heading out on a #CaribbeanGetaway to the Spice Isle.",,"Close-up of woman in rainbow bandeau top smiling in Miami park with sun flare and city skyline backdrop",,"Miami departure day, park photo close-up"
images/pin582.png,"Tropical Cocktail Night in Miami | Pre-Grenada Travel Vibes","Nothing like a Miami cocktail bar night before flying out to Grenada! These garnished tropical cocktails with candied orange slices and fresh berries are the perfect send-off drink for a Caribbean vacation kickoff. Miami nightlife hits different when you know a Spice Isle adventure is just a flight away. This mirror selfie moment captures the excitement of pre-travel night out vibes, designer weekender bag in tow, ready for island hopping. Save this for your #MiamiNightlife board or your #CocktailHour travel diary before the #CaribbeanBound journey begins.",,"Mirror selfie holding two garnished tropical cocktails with candied orange slices in a dark Miami lounge",,"Miami night out before flight"
images/pin583.png,"Miami Skyline Sunset | Hotel Window View Before Flying to Grenada","Catching this dusky Miami skyline view right from the hotel room window before an early flight to Grenada! Downtown Miami high-rises glowing at sunset are the perfect backdrop for a pre-travel evening. If you love city skyline views and Miami travel content, this shot captures that quiet excitement before a Caribbean island adventure begins. Save this for your #MiamiSkyline board or #CityView travel inspiration before jetting off on a #TravelDiaries Caribbean escape.",,"Sunset skyline view of downtown Miami high-rises seen through a hotel room window",,"Miami hotel room dusk view"
images/pin584.png,"Flying Over Miami Beach | Miami to Grenada Flight Window View","Watching Miami Beach's turquoise coastline disappear below as the flight to Grenada takes off! This airplane wing view over the barrier islands and sparkling ocean is such a dreamy way to start a Caribbean island trip. Miami to Grenada flights offer some of the best aerial views of South Florida before crossing into Spice Isle territory. Perfect inspo for your #MiamiBeach travel board, #FlightView content, or #CaribbeanBound island hopping series.",,"Airplane wing view over turquoise ocean and Miami Beach coastline during flight from Miami to Grenada",,"In-flight Miami Beach aerial"
images/pin585.png,"Above the Clouds | Miami to Grenada Caribbean Flight","Somewhere between Miami and Grenada, cruising above the clouds on this island-hopping flight! There's something so peaceful about airplane wing views over endless ocean and cloud layers en route to the Spice Isle. This is exactly the kind of travel day content that makes Caribbean vacation planning so exciting. Save this for your #FlightViews board or #CaribbeanTravel inspiration when you're dreaming about your next #IslandHopping adventure.",,"Airplane wing above clouds and ocean during flight from Miami to Grenada Caribbean",,"In-flight clouds and ocean"
images/pin586.png,"Moody Grenada Sunset | Banana Leaf Balcony Views on the Spice Isle","This moody cloudy sunset over the Caribbean Sea, framed by banana leaves, is exactly what Grenada evenings look like from a boutique hotel balcony. The Spice Isle has the most dramatic skies, and this quiet dusk moment overlooking the ocean is pure island relaxation. If you're planning a Grenada vacation or Caribbean island escape, this is the view you'll want to wake up to. Save this for your #Grenada travel board, #SpiceIsle inspiration, or #CaribbeanSunset content.",,"Cloudy dusk sky over ocean framed by banana leaves and tree silhouette in Grenada",,"Grenada balcony dusk view"
images/pin587.png,"Silhouette Tree at Dusk | Grenada Caribbean Island Evening","A tall tree silhouette against dramatic cloudy skies captures the essence of a Grenada evening. This moody Caribbean island sky, seen from the boutique hotel grounds, is the kind of view that makes Grenada travel content so captivating. Whether you're scrolling for Spice Isle inspiration or Caribbean island evening vibes, this dusk shot delivers. Perfect for your #Grenada board, #CaribbeanIsland travel inspiration, or #IslandLife content collection.",,"Silhouette of a tall tree against cloudy dusk sky in Grenada Caribbean",,"Grenada evening tree silhouette"
images/pin588.png,"Mount Edgecombe Boutique Hotel Balcony | Grenada Jungle & Ocean View","Waking up to this jungle and ocean view at Mount Edgecombe Boutique Hotel in Grenada is an unmatched island experience! Banana leaves frame the balcony while the Caribbean Sea stretches out below the tropical hillside. This boutique hotel stay is perfect for anyone planning a Grenada vacation looking for authentic Spice Isle charm and ocean views. Save this for your #Grenada hotel board, #MountEdgecombe inspiration, or #BoutiqueHotel Caribbean travel content.",,"Balcony view of banana leaves and jungle hillside from Mount Edgecombe Boutique Hotel Grenada",,"Mount Edgecombe balcony jungle view"
images/pin589.png,"Blue Hour in Grenada | Ocean View from Boutique Hotel Balcony","That soft blue hour glow over the Caribbean Sea, framed by banana leaves, is the kind of Grenada moment you dream about. Shot from the balcony at a boutique hotel on the Spice Isle, this dusky ocean view captures why Grenada is such an underrated Caribbean destination. Perfect for your Grenada travel itinerary research or #BlueHour photography board. Save this for #Grenada inspiration or #CaribbeanView travel content.",,"Blue hour ocean view with banana leaves and cloudy sky from a Grenada hotel balcony",,"Grenada balcony blue hour"
