file_path,title,description,link,alt_text,section_id,note
images/pin190.png,Rio Street Vendor Cart Copacabana Promenade Night,"the camouflage cart, the spongebob stickers, the #Brazil flag, the bottles — everything i came to associate with late nights on the #Copacabana promenade. a woman crouched beside it examining the wheel while the city moved around her. the iconic portuguese pavement below. #RioDeJaneiro street food and vendor culture is layered and alive, especially after dark. this image is where i keep returning.",,Woman crouching beside camouflage street vendor cart with Brazilian flag on Copacabana mosaic promenade at night in Rio de Janeiro,,
images/pin191.png,Copacabana Wide Night Scene Street Vendor,"the full promenade scene at night — the vendor cart centered, the mosaic wave pavement spreading wide, high-rises lit behind it, other figures moving through the frame. #Copacabana at night in #RioDeJaneiro: this is what the promenade actually looks like after the sun goes down. the vendor doesn't pack up. the city doesn't empty. everyone just keeps moving. #BrazilTravel: always walk the beach road at night.",,Wide night view of Copacabana promenade with vendor cart mosaic pavement and illuminated buildings in Rio de Janeiro Brazil,,
images/pin192.png,Ipanema Neighborhood View Overcast Morning Balcony,"the morning view from the balcony in #Ipanema — a modern high-rise with green balconies facing me, the ocean visible just over its edge, an island in the distance. gray clouds, no wind, the street below still quiet. this is what the first hour of the day looks like in this neighborhood. #RioDeJaneiro mornings in #Ipanema are worth waking up for. #BrazilTravel accommodation: zona sul is always the right choice.",,Morning view from balcony of modern green-balconied building with ocean and island visible in Ipanema Rio de Janeiro Brazil,,
images/pin193.png,Two Brothers Mountain Overcast Ipanema View,"the dois irmãos on another overcast morning — more visible today, the peaks distinct against the gray, the city and the mountains holding their conversation. i photographed this view every morning and each time the light was different. #RioDeJaneiro geography: the mountains are part of the daily emotional texture of this city. #Ipanema balcony mornings. #BrazilTravel.",,Two Brothers mountain peaks above Ipanema rooftops viewed from balcony on overcast morning in Rio de Janeiro Brazil,,
images/pin194.png,Ipanema Neighborhood Overcast Balcony View Rio,"the view inland from the balcony in #Ipanema on a gray morning — apartment buildings stacked toward the hills, mango trees lining the streets, the neighborhood dense and lived-in. #RioDeJaneiro from inside a residential block is a different city than the one you see from the beach. #BrazilTravel: stay in #Ipanema, get a place with a balcony, watch the neighborhood for a while.",,Overcast morning view of Ipanema apartment buildings and tree-lined streets toward mountains from balcony in Rio de Janeiro,,
images/pin195.png,Electric Rideshare Car Interior Rio Rain,"in the back of a #RioDeJaneiro rideshare on a rainy afternoon — a modern electric car with panoramic sunroof, rain running across the glass above, the large central console glowing with maps and vehicle stats. the city outside moved slowly. there's something meditative about being inside a quiet car in a rainy city. #BrazilTravel transportation: the rideshare infrastructure in #RioDeJaneiro is underrated.",,Interior of electric rideshare car with rain-covered sunroof and glowing navigation console in rainy Rio de Janeiro Brazil,,
images/pin196.png,Galezzo Bar Sign Night Ipanema Rio,"the #Galezzo sign again — white neon, bold lettering, the bar interior glowing warm behind it. i went back a second time. #Ipanema in #RioDeJaneiro has a handful of places like this: unpretentious, neighborhood, full of life on a tuesday night. the brahma dispenser, the beefeater sign, the stone bar top — it all adds up to exactly the kind of place you want to find when you're traveling and you just want to sit somewhere real. #BrazilTravel bar guide.",,Galezzo Bar and Restaurante neon sign at night in Ipanema Rio de Janeiro with warm bar interior and Brahma dispenser,,
images/pin197.png,Dark Club Mural Rio de Janeiro Red Light,"another look at the dark venue walls in #RioDeJaneiro — white line figures on black paint, the portuguese pavement pattern used as texture, a silhouetted woman in a wide hat mid-stride, palm trees flat overhead. the red light from above. this is #RioNightlife translated into wall art: the street brought inside, the city made atmospheric. #BrazilArt in unexpected spaces.",,Dark nightclub interior with red lighting and white line mural depicting Copacabana street figures in Rio de Janeiro Brazil,,
images/pin198.png,Grilled Octopus Restaurant Ipanema Rio Dinner,"dinner in #Ipanema, #RioDeJaneiro — charred octopus on a white ceramic plate, herb-dressed, surrounded by halved cherry tomatoes and dots of aioli dusted with paprika. it arrived looking intentional. #BrazilianSeafood is quiet in its confidence. the meal lasted two hours. the conversation was good. the food was better. #RioDeJaneiro dining in the zona sul: worth every reservation attempt.",,Grilled octopus with fresh herbs cherry tomatoes and paprika aioli on white ceramic plate at Ipanema restaurant in Rio de Janeiro,,
images/pin199.png,Octopus Plate Close Ipanema Rio de Janeiro,"the octopus in better light — the tentacles clearly charred at the tips, the herbs vivid green against the ceramic, the tomatoes bright. i took this photo for the same reason i take all food photos on the road: to remember that i was there and that it was that good. #BrazilianFood in #Ipanema is not a punchline. it is a serious, considered, coastal cuisine. #RioDeJaneiro restaurants deserve more credit.",,Close up of perfectly charred grilled octopus with herbs and tomatoes on ceramic plate at Ipanema restaurant Rio de Janeiro,,
